Control,Item,en,fr
Generic,ActivateAt,Activate At,Activer à
,Amount,Amount,Montant
,Asset,Asset,Atout
,Broker,Broker,Courtier
,Buy,Buy,Acheter
,Exchange,Exchange,Échange
,Exchanges,Exchanges,Échanges
,LightningFuturesExchange,Lightning Futures Exchange,Lightning Futures Exchange
,Limit,Limit,Limite
,LimitOrder,Limit Order,Limite de commande
,LimitPrice,Limit Price,Limite Prix
,LiquidityOrder,Liquidity Order,Ordonnance de liquidité
,Manage,Manage,Gérer
,MarginRequirements,Margin Requirements,Exigences de marge
,MargReq,Marg. Req.,Marg. Req.
,Market,Market,Marché
,MarketOrder,Market Order,Ordre du marché
,None,None,Aucun
,Offset,Offset,Décalage
,OrderBook,Order Book,Carnet de commande
,Price,Price,Prix
,RecentTrades,Recent Trades,Métiers récents
,Select,Select,Sélectionner
,Sell,Sell,Vendre
,Size,Size,Étendue
,StopLoss,Stop Loss,Stop Loss
,Total,Total,Total
,Tradable,Tradable,Tradable
,Wallet,Wallet,Portefeuille
,Wallets,Wallets,Portefeuilles
Languages,en,English,English
,fr,français,français
,es,español,español
LanguagesFlags,en,gb,gb
,fr,fr,fr
,es,es,es
Validation,PleaseSelectAnExchange,Please select an exchange.,Veuillez sélectionner un échange
,PleaseSelectAWallet,Please select a wallet.,Veuillez sélectionner un portefeuille.
,PleaseSelectABroker,Please select a broker.,Veuillez sélectionner un courtier
,PleaseSelectAnAsset,Please select an asset.,Veuillez sélectionner un atout
,PleaseEnterAPositiveAmount,Please enter a positive amount.,S'il vous plaît entrer un montant positif.
